id;cca2;continents;currencies;flag;languages;population;capital;bbox
364c1a5b-75d5-45c7-89f3-ca9b0d016b3d;TL;Oceania;United States dollar;🇹🇱;Portuguese,Tetum;1391221;Dili;124.036328125,-9.5119140625,127.29609375,-8.13994140625
e294c743-a85e-4e0d-8f3e-cbec24a2d067;BR;South America;Brazilian real;🇧🇷;Portuguese;213421037;Brasília;-74.0020507813,-33.7421875,-34.80546875,5.25795898437
17f64b6c-a6d2-494e-91f0-ccb7518c7278;GH;Africa;Ghanaian cedi;🇬🇭;English;33742380;Accra;-3.24389648438,4.76245117188,1.18720703125,11.1668945312
1208c627-6a10-4611-90d5-71b8a29d46e0;KE;Africa;Kenyan shilling;🇰🇪;English,Swahili;53330978;Nairobi;33.9,-4.6923828125,41.883984375,5.49228515625
829390e4-040b-4a71-9554-b69477c5a68d;IS;Europe;Icelandic króna;🇮🇸;Icelandic;391810;Reykjavik;-24.4756835937,63.4066894531,-13.5561035156,66.5260742187
7fce24ef-6178-43ee-8f79-da0fc5e99a18;MG;Africa;Malagasy ariary;🇲🇬;French,Malagasy;31727042;Antananarivo;43.2571289063,-25.5705078125,50.4827148438,-12.0795898437
b13fbf85-cf43-4692-ae5e-43cfaa94451a;BD;Asia;Bangladeshi taka;🇧🇩;Bengali;169828911;Dhaka;88.0234375,20.7904296875,92.631640625,26.5715332031
abb28025-9465-4aea-9ed3-da7eb4ca2870;CD;Africa;Congolese franc;🇨🇩;French,Kikongo,Lingala,Tshiluba,Swahili;112832000;Kinshasa;12.213671875,-13.4538085938,31.2740234375,5.312109375
007f8e80-1cdf-408b-a7ab-08cd2fb28d05;ZW;Africa;Zimbabwean dollar;🇿🇼;Chibarwe,English,Kalanga,Khoisan,Ndau,Northern Ndebele,Chewa,Shona,Sotho,Tonga,Tswana,Tsonga,Venda,Xhosa,Zimbabwean Sign Language;17073087;Harare;25.2240234375,-22.4020507813,33.0067382813,-15.6430664062
c8608de1-6a60-4acd-a383-5b18742161e9;TR;Europe,Asia;Turkish lira;🇹🇷;Turkish;85664944;Ankara;25.6689453125,35.8314453125,44.8171875,42.0932617188
0f8240b3-21ca-4700-ae35-f9704eeba45e;CV;Africa;Cape Verdean escudo;🇨🇻;Portuguese;491233;Praia;-25.3415527344,14.8182128906,-22.6818847656,17.1936523438
41860a06-c893-4cb4-b2a6-2356a79a9aec;DO;North America;Dominican peso;🇩🇴;Spanish;10771504;Santo Domingo;-72.000390625,17.6355957031,-68.3391601562,19.9139648437
f45106b9-ba54-461c-b1de-3973fc932908;BS;North America;Bahamian dollar,United States dollar;🇧🇸;English;398165;Nassau;-78.9856445312,20.9374023438,-72.747265625,26.9400878906
fc09135d-e328-4853-931a-6bc52cec8f39;DE;Europe;euro;🇩🇪;German;83491249;Berlin;5.85751953125,47.2788085938,15.0166015625,55.0587402344
4754e9d1-cebf-44bf-8b4f-93a2f10d531d;SR;South America;Surinamese dollar;🇸🇷;Dutch;616500;Paramaribo;-58.0544921875,1.84223632812,-53.9904785156,5.99345703125
dec7a8ac-ef65-435e-8688-8648917a4b25;TO;Oceania;Tongan paʻanga;🇹🇴;English,Tongan;100179;Nuku'alofa;-175.362353516,-21.4505859375,-173.921875,-18.5653320313
82ad7da7-79d7-4441-bc27-a812c2afe3db;LC;North America;Eastern Caribbean dollar;🇱🇨;English;184100;Castries;-61.0731445312,13.717578125,-60.8867675781,14.093359375
41515376-2c89-4849-928f-48f4bc5e452f;IE;Europe;euro;🇮🇪;English,Irish;5458600;Dublin;-10.390234375,51.4737304688,-6.02739257812,55.3658203125
3a9bad44-6788-4df1-888b-7c5c6d077dd2;VA;Europe;euro;🇻🇦;Italian,Latin;882;Vatican City;12.4275390625,41.8975585937,12.4391601563,41.9062011719
35e06d1f-cc8d-4d84-a61a-826292c0ee5a;CO;South America;Colombian peso;🇨🇴;Spanish;53057212;Bogotá;-82.39,-4.2359375,-66.8760253906,15.33
002d8078-2505-4d73-8484-d2ccd29e07c6;PT;Europe;euro;🇵🇹;Portuguese;10749635;Lisbon;-31.2829589844,32.4,-6.2125,42.1374023437
099fa0a5-21f5-4dde-8835-e308ff4a86d0;ST;Africa;São Tomé and Príncipe dobra;🇸🇹;Portuguese;209607;São Tomé;6.4681640625,0.04736328125,7.45234375,1.69912109375
d97d269d-c44d-4f5f-9dad-7fc6e3168151;YE;Asia;Yemeni rial;🇾🇪;Arabic;32684503;Sana'a;42.5490234375,12.3189941406,54.5111328125,18.9961425781
52e8e328-0515-49e4-af73-5ea262d8012f;NG;Africa;Nigerian naira;🇳🇬;English;223800000;Abuja;2.68603515625,4.27739257813,14.6271484375,13.8728515625
023c036a-7924-4ecc-815e-5e109b238a75;AF;Asia;Afghan afghani;🇦🇫;Dari,Pashto,Turkmen;43844000;Kabul;60.4857421875,29.3919433594,74.8913085938,38.4563964844
732181b8-2f4b-40e4-a3ef-0b07c39677f0;BW;Africa;Botswana pula;🇧🇼;English,Tswana;2359609;Gaborone;19.97734375,-26.8541992188,29.36484375,-17.7875976562
719e3690-b7e7-429c-8346-531b7b838119;SV;North America;United States dollar;🇸🇻;Spanish;6029976;San Salvador;-90.1059082031,13.1640136719,-87.7153320312,14.4311035156
6c1a5c4f-2a69-4bf7-a16f-bf9f39f0032c;UG;Africa;Ugandan shilling;🇺🇬;English,Swahili;45905417;Kampala;29.5619140625,-1.469921875,34.9782226563,4.22021484375
c83f4d04-bd1c-4792-b49e-61cc87517b7f;AD;Europe;euro;🇦🇩;Catalan;88406;Andorra la Vella;1.41484375,42.4344726562,1.740234375,42.6427246094
